question,answer,category,product,language
"Hi, can you let me know the delivery details?","✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Ethu delivery charge kodukkano,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Is cash on delivery available?,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Price? available by post,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Cash on deliverya Pls Ps tamil,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
From which district of kerala ur parcel s,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Payment cash on delivery available or what,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Hi 250 grm with Free delivery of CARDAMAM /to above address ONLY on cash on delivery PLEASE DO send,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Available ano Cash on delivery,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
E week kazhinjl ngl evidundavilla Etra days edukum Ithevidunna verunne Okk,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Delivery available in Chennai,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
To calicut What is the courier charge,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Delhi shipping ondo,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
"If I place an order now, in how many days it will reach Trivandrum?","✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
8mm today price,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Send the both along with shipping charges I will pay and send the address Will check the quality and then take more,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Cash on delivery undenkil ayakkuka illenkil venda .,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Me apko 1749 rp send karti hu. Free delivery hai na? Phone pay hai? Hme 500 grm dijiye big size,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
"Sreeja.k.v Meethal (H) Keecheri, P.o. Anchampeedika Kannur 670331 P.h. 9567956812 Cash on delivery available aano?","✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
When will my order arrive?,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
How many days for delivery?,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
Dispatch cheyto? Tracking number?,"✅ Google Pay സൗകര്യം ലഭ്യമാണ് – സ്കാനർ ഉപയോഗിച്ച് പണം നൽകാം! 💵 Cash On Delivery (COD) ആഗ്രഹിക്കുന്നവർക്കായി, ചെറിയ അഡ്വാൻസ് ₹60 + ₹40 (COD ചാർജ്) = ₹100 നൽകി ഓർഡർ ഉറപ്പാക്കാം. 📌 COD ഓർഡറുകൾക്ക് അധികം ₹40 ചാർജ് ബാധകമാണ്. Google Pay :8075519579 OR ബാങ്ക് അക്കൗണ്ട് വിശദാംശങ്ങൾ: അക്കൗണ്ട് ഉടമ: BASIL THOMAS അക്കൗണ്ട് നമ്പർ: 50100439256291 IFSC: HDFC0000133 📸 പണം നൽകിയ ശേഷം സ്ക്രീൻഷോട്ട് ഷെയർ ചെയ്യണം. നന്ദി!",delivery_query,general,english
This price is including shipping? Courier ayakkamo?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Elachi 50g. Kurumulaku 500. Ethrayanu cash on delivery undo,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Sorry 24th Sunday. You said it will take only 3 to 4 days.But today is 26th.Waiting for your reply. No I didn't get the pepper.I paid on the 19th.Pls check and let me know.,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
50gm veethamulla combo mathi pepper 200 gmum 699 price cash on delivery available ano,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
"Dear bro We are looking to import Indian Black Pepper with the following specifications: Origin: India Grade: MG1 or TGEB Density: minimum 570 g/l Moisture: max 12% Extraneous matter: max 0.5% Light berries: max 2% Aflatoxin: within international limits Salmonella: absent Packaging: 25 kg PP bags Quantity: 18 MT Delivery: Khasab Port, Oman Please provide COA (Certificate of Analysis) and details of the latest crop.",We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
"Please share the below details for delivery purpose Door number: #332 Street name: One and Only villas road Landmark: Nandini junction Area /Village: choodasandra bande near GR sankalpa appartment and One and Only villas Post:Huskur(p) District : Bangalore Pincode : 560099 Name : Kavitha.g Phone number :8861347068 Product : Elaichi,250gm,, Black pepper 500gm,,Cloves 100gm Price : Cash on delivery / COD prepay :",We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
"Basil, good afternoon, Pls dispatch half KG pepper. Ahmed Abdulla Rahnas Mundappuram P.O. Cherukunnu Kannur District 670 301 Kerala Mob: 9966609732",We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Pepper per kg how much Chennai delivery available,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Cash on delivery ഉണ്ടോ 500gm കുരുമുളക് മതി Price,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Manjal powder 1/4 Ernakulam how many days venam,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
No I didn't get the pepper.I paid on the 19th.Pls check and let me know. You said it will take only 3 to 4 days.But today is 26th.Waiting for your reply. Sorry 24th Sunday.,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
"I need 500 gms elakai,1kg pepper Let me know the price by courier",We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Ernakulam how many days venam Manjal powder 1/4 Cardom 1/2kg Pepper 1/2 Grambu 1/4,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
When will my order arrive?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
How many days for delivery?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
Dispatch cheyto? Tracking number?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,pepper,english
"How much for turmeric powder? Ekuts Raghu, C5, Rose Garden, Convent Road 2, Thottakkattukara post, Alwaye, Ernakulam, kerala 683108, connect:9447550003. 🤔",We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,turmeric,english
[Reply: Payment] Riyas VP Al Jannah Uliyil post Mattannur 670702 Kannur Mob..9895776797 Turmeric powder details,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,turmeric,english
"Earn ₹21 on your first payment, if you're new or have not used Google Pay for the last 180 days. Just use my referral link https://gpay.app.goo.gl/invite-rk31q1z to enjoy your reward.",We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,turmeric,english
When will my order arrive?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,turmeric,english
How many days for delivery?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,turmeric,english
Dispatch cheyto? Tracking number?,We dispatch within 1-2 business days via India Post / courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched.,delivery_query,turmeric,english
Any discount this order ?,Spices 🌿Direct from Idukki 🌿 ഇടുക്കിയിൽ നിന്നുള്ള ശുദ്ധമായ രുചിയും സുഗന്ധവും *Cardamom (ഏലക്ക) – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery *Clove (ഗ്രാമ്പൂ) – Adimali Origin* 🔥100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅Free Delivery *Cleaned Black Pepper (Idukki കുരുമുളക്)* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅Free Delivery 🍂 *Original Ceylon Cinnamon ( Original കറുവപ്പട്ട)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅Free Delivery 🔥 Combo Offers 1. 100g ഏലക്ക + 100gm ഗ്രാമ്പൂ – ₹560 ✅Free Delivery 2. 100g ഏലക്ക + 200gm കുരുമുളക് – ₹640 ✅Free Delivery 3. 100g ഏലക്ക + 100gm കറുവപ്പട്ട - ₹699 ✅Free Delivery 🔥All Spices Special Offers (Free Turmeric & Shipping) 100g ഏലക്ക + 100gm ഗ്രാമ്പൂ + 200gm കുരുമുളക് + 100gm കറുവപ്പട,order_placement,cardamom,english
Dear sir pls send me price,Spices 🌿Direct from Idukki 🌿 ഇടുക്കിയിൽ നിന്നുള്ള ശുദ്ധമായ രുചിയും സുഗന്ധവും *Cardamom (ഏലക്ക) – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery *Clove (ഗ്രാമ്പൂ) – Adimali Origin* 🔥100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅Free Delivery *Cleaned Black Pepper (Idukki കുരുമുളക്)* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅Free Delivery 🍂 *Original Ceylon Cinnamon ( Original കറുവപ്പട്ട)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅Free Delivery 🔥 Combo Offers 1. 100g ഏലക്ക + 100gm ഗ്രാമ്പൂ – ₹560 ✅Free Delivery 2. 100g ഏലക്ക + 200gm കുരുമുളക് – ₹640 ✅Free Delivery 3. 100g ഏലക്ക + 100gm കറുവപ്പട്ട - ₹699 ✅Free Delivery 🔥All Spices Special Offers (Free Turmeric & Shipping) 100g ഏലക്ക + 100gm ഗ്രാമ്പൂ + 200gm കുരുമുളക് + 100gm കറുവപ്പട,order_placement,cardamom,english
